,CL,CL_log,CD,CD_log,Cm,Cm_log,Va,alpha,alpha_deg
904,-0.8861778332732674,-0.586503366250471,1.3484705180356205,1.3236780465991316,0.006992188754372464,-0.09665679392466721,6.4442310807665555,-0.39484062175512286,-22.625414248361995
1679,-0.996490864300557,-1.0131746988403283,1.3529333787604454,1.3387369117625418,0.02798290116998503,-0.027253155096796582,6.747668624003085,-0.39535165328395966,-22.61827946577891
903,-0.8860630800411855,-0.5486243570828975,1.3495402004312127,1.3343048190001718,0.0045675160592451025,-0.21629303190027097,6.43647814408439,-0.3943495378047114,-22.597731478784567
1192,-1.6270452733916683,-1.8192884508707068,2.2599259652357,2.5606316620824527,-0.6787129975515298,-0.4069617896854015,4.188885077741466,-0.3919453479150821,-22.59233379952775
905,-0.8693517926812715,-0.5966133099008648,1.339959497279438,1.2850779222600792,0.013910230067053275,-0.022152808397789055,6.45788451690226,-0.39404893960518245,-22.582980060996658
1680,-0.9085576199245645,-1.0081418650535032,1.3150810483617923,1.2970867012475211,0.04696784022504952,-0.06744891434213417,6.752880725500559,-0.3937587676256491,-22.565188753105343
1633,-0.7854698749545606,-0.7362679755942038,1.3199982089310596,1.5087980098571363,0.020217181014902996,-0.21186037699371152,6.382973120218523,-0.3937164711056192,-22.56176704334931
1599,-0.7739880433230005,-0.7547806940601928,1.4055134297612684,1.760581682790194,-0.07655172062452409,-0.13445789651515833,5.825095704849991,-0.3923028059432791,-22.55755985567826
1681,-0.9035111178827113,-0.9525510204891838,1.313240736098113,1.2442788706979706,0.0480514261886007,-0.07018877821115489,6.751437722118944,-0.39323485750147197,-22.553059620372256
1635,-0.7775450451013618,-0.7771989178309316,1.311823597745788,1.5991771723758852,0.027757070450404653,-0.12870759873204718,6.420256465925508,-0.3925844428469184,-22.535144555288618
1669,-0.7877555631912178,-0.752042649513752,1.2763707993180125,1.236936099490071,0.0643115130778813,-0.05281969242742577,6.701597109751682,-0.3923834586171181,-22.529351509952054
1632,-0.8249844464340582,-0.7848064579905296,1.336474870091152,1.541189976518281,0.009547512879830355,-0.23069115603640736,6.366916219501537,-0.39410366326908436,-22.51260858836707
1240,-0.6049493206185674,-0.21573647602365476,1.3057637576690542,1.217956835356402,0.011337247459634714,-0.31917145683726084,6.111790925545861,-0.3952735544764245,-22.51100336952249
1634,-0.7919506262294195,-0.7381550064169038,1.3189403211525321,1.5281961891098603,0.02238881546589111,-0.17180894830350155,6.405776181354833,-0.3931009778682975,-22.505293876006153
1251,-1.1380275053411957,-1.3502997147030233,1.4797572756023911,1.5620586959530995,-0.0635403538265642,0.045095954017346715,6.320158046429242,-0.38713724901187835,-22.492554903027973
1636,-0.796958839171465,-0.7960906851511264,1.318621853525118,1.6432018294332387,0.024001239735620405,-0.10414345140532326,6.420147479244593,-0.39217928618336123,-22.485991287476153
902,-0.8781194061860468,-0.5221797922284291,1.3469349272844404,1.3164804635582399,0.004714277032234149,-0.26680087398739954,6.432977168104637,-0.3925618327621844,-22.48428398063643
1682,-0.9096359136350257,-0.8949775374264328,1.3153056884762506,1.1962775435771318,0.04773202106173535,-0.038649078979259135,6.754489659381812,-0.39274136176449775,-22.4814115337664
906,-0.8945797313079491,-0.5593236561210261,1.3477591940236286,1.252620417340495,0.01187553338900349,-0.06777625872242937,6.472422376348275,-0.39203932107050055,-22.470278068326863
1637,-0.8220013409697989,-0.7469306818705502,1.3279211660319654,1.5877437287173939,0.018906267558893797,-0.10362858513883154,6.418051872669367,-0.39142291921975475,-22.429149922435105
1683,-0.8860852910772141,-0.8743490636393153,1.3039078396596508,1.166505545054239,0.05540757665191931,-0.009772361407241614,6.7699317526791045,-0.3910710794480389,-22.383499881782182
1186,-0.6507211671069695,0.1596905589024623,1.860682894460157,2.2613518098743475,-0.5791200372733332,-0.8108774320171449,3.928943036206608,-0.3915151633591621,-22.361408763243244
